DOC_ID	LABEL	RATING	VERIFIED_PURCHASE	PRODUCT_CATEGORY	PRODUCT_ID	PRODUCT_TITLE	REVIEW_TITLE	REVIEW_TEXT
1	__label1__	4	N	PC	B00008NG7N	Targus PAUK10U Ultra Mini USB Keypad, Black	useful	When least you think so, this product will save the day. Just keep it around just in case you need it for something.
2	__label1__	4	Y	Wireless	B00LH0Y3NM	Note 3 Battery : Stalion Strength Replacement 3200mAh Li-Ion Battery for Samsung Galaxy Note 3 [24-Month Warranty] with NFC Chip + Google Wallet Capable	New era for batteries	Lithium batteries are something new introduced in the market there average developing cost is relatively high but Stallion doesn't compromise on quality and provides us with the best at a low cost.<br />There are so many in built technical assistants that act like a sensor in their particular forté. The battery keeps my phone charged up and it works at every voltage and a high voltage is never risked.
3	__label1__	3	N	Baby	B000I5UZ1Q	Fisher-Price Papasan Cradle Swing, Starlight	doesn't swing very well.	I purchased this swing for my baby. She is 6 months now and has pretty much out grown it. It is very loud and doesn't swing very well. It is beautiful though. I love the colors and it has a lot of settings, but I don't think it was worth the money.
4	__label1__	4	N	Office Products	B003822IRA	Casio MS-80B Standard Function Desktop Calculator	Great computing!	I was looking for an inexpensive desk calcolatur and here it is. It works and does everything I need. Only issue is that it tilts slightly to one side so when I hit any keys it rocks a little bit. Not a big deal.
5	__label1__	4	N	Beauty	B00PWSAXAM	Shine Whitening - Zero Peroxide Teeth Whitening System - No Sensitivity	Only use twice a week	I only use it twice a week and the results are great. I have used other teeth whitening solutions and most of them, for the same results I would have to use it at least three times a week. Will keep using this because of the potency of the solution and also the technique of the trays, it keeps everything in my teeth, in my mouth.
6	__label1__	3	N	Health & Personal Care	B00686HNUK	Tobacco Pipe Stand - Fold-away Portable - Light Weight - For Single Pipe	not sure	I'm not sure what this is supposed to be but I would recommend that you do a little more research into the culture of using pipes if you plan on giving this as a gift or using it yourself.
7	__label1__	4	N	Toys	B00NUG865W	ESPN 2-Piece Table Tennis	PING PONG TABLE GREAT FOR YOUTHS AND FAMILY	Pleased with ping pong table. 11 year old and 13 year old having a blast, plus lots of family entertainment too. Plus better than kids sitting on video games all day. A friend put it together. I do believe that was a challenge, but nothing they could not handle
8	__label1__	4	Y	Beauty	B00QUL8VX6	Abundant Health 25% Vitamin C Serum with Vitamin E and Hyaluronic Acid for Youthful Looking Skin, 1 fl. oz.	Great vitamin C serum	Great vitamin C serum... I really like the oil feeling, not too sticky. I used it last week on some of my recent bug bites and it helps heal the skin faster than normal.
9	__label1__	4	N	Health & Personal Care	B004YHKVCM	PODS Spring Meadow HE Turbo Laundry Detergent Pacs 77-load Tub	wonderful detergent.	I've used tide pods laundry detergent for many years,its such a great detergent to use having a nice scent and leaver the cloths smelling fresh.
10	__label1__	1	N	Health & Personal Care	B00H4IBD0M	Sheer TEST, Best Testosterone Booster Supplement for Men with Fenugreek, Science-Based Formula Delivers Visible Results You Can See and Feel, Full 30-Day Cycle	WARNING: do not waste your money on this	Everybody wants to fall for their promises. But this is a relatively unheard of brand, some even say a non existant company. Look at how amateur their labels and products are. You have to ask yourself if you would trust this kind of amateur stuff? No way! Don't waste your money.
11	__label1__	1	N	Health & Personal Care	B00VQNLQL2	#1 Most Potent Male Performance Enhancement Supplement - Increase Size, Stamina, Energy & Libido Fast - RUSH by Neovicta - Powerful All Natural Testosterone Support - 60 Count - Money Back Guarantee	Unfortunately they didn't work for me.	Unfortunately they didn't work for me. They made me sick and throw up once of the two times I tried them
12	__label1__	4	N	Kitchen	B00IWOJS9A	Proctor Silex K2070YA Electric Kettle, 1-Liter	She said that it is easy to use	This kettle is a gift for my daughter. She said that it is easy to use. She likes the design of it, so nice and neat.
13	__label1__	4	N	Kitchen	B00JEGSZCQ	Stainless Steel Tumbler with Straw- Hot and Cold Double Wall Drinking Mug- 16 oz.	Works great	I love this tumbler! Keeps drinks warm or cold for a good period of time, and its very sturdy. I get complements on how sleek it looks all the time, especially because it doesnt leave fingerprints. Highly recommend. Only suggestion when washing the lid, be sure to shake it and dry well to prevent dripping when the lid is on the tumbler.
14	__label1__	4	N	Health & Personal Care	B000TD0PXU	Now Foods Mood Support With St Johns Wort Veg-capsules, 90-Count	Just OK	Only giving this 3 stars because it is so cheap. Has a very mild sedative effect, other than that it's pretty useless for stress/anxiety/panic attacks. Save your money ad get some ZenRx. Night and day difference.[[ASIN:B00HBGBRY4 ZenRx - Dietary supplement reduces symptoms of anxiety, stress, depression, and panic attacks. Boost your mood, increase relaxation, and beat your anxiety with Kava kava, 5-htp, Theanine, Gaba, and more. Money Back Guarantee!]]
15	__label1__	4	N	Furniture	B0019QITHK	Boss Caressoft Medical Stool, black	Color Is Accurate	I bought 2 of these in brown for my island. The hydraulic mechanism looks as though it might fail with over use, but otherwise, I really like them. The color is accurate, as is the description. There is some padding, but not much. Definitely not a chair that you would lounge around in, but great for a bar/counter in the kitchen.
16	__label1__	4	N	Electronics	B004WODP20	Sony MDRZX100  ZX Series Stereo Headphones (Black)	Price is right!	wonderful headphones had them now for 5 months and works great also great price and the sound is very clear and loud and soft the the ears love my headphones not to mention that they are sony
17	__label1__	4	Y	Camera	B00E56WY18	Falcon Zero F360 HD DVR Dual Dash Cam, Rear View Mirror, 1080p, 32GB SD Card (Black)	Good design, but a recommendation	Video quality if superb, fits just fine, looks like a real mirror (I believe they enhanced this), my only gripe is I wish they put the cameras not side by side, but one on one side, the other on the other side. I only say this because due to where the left camera is place, there is wasted recording room when you start to turn it towards the driver side. Otherwise very happy with this so far.
18	__label1__	4	N	Sports	B000HE8NK8	Barnett Diablo Slingshot	good enough	As sling shots go, this is good enough for my purposes. Though, I would have preferred for the handle to be slimmer for better grip.
19	__label1__	4	Y	Kitchen	B00FJKEGRY	Cuisavour's Deluxe Spiral Slicer with Japanese Stainless Steel Blades and 2 Premium Julienne Sizes	I just wish that there were guides and manuals for this	just to be fair, i really believe that this is a great slicer , and the idea was there, but unfortunately there are tricks when using this spiral slicer, i mean manual or something would have been helpful.<br /><br />I'm not saying something negative about this slicer because it does work, but however it did it took me almost a week in trying to learn how to use this slicer in cutting different kinds of vegetable.<br />the price i may say is fair, but i do wish that there were manuals in every box in showing us how to use this slicer properly.
20	__label1__	4	Y	Health & Personal Care	B00KNXIDH6	100 Tablet CleanGuard Nightguard Cleaner	and he was satisfied with this	These tablets are especially helpful if you use the Secure dental adhesive.<br />I bought this stuff for my father. and he was satisfied with this.
21	__label1__	4	N	Home	B00LWRZFAA	Birds Flying Black Tree Branches Wall Sticker Vinyl Art Decal Mural Home Decor	best of money value	Looking decent as same shown in photos Thank You amazon .I saved cost as paint of this type is very costly and as this is digitally print looking decent.
22	__label1__	4	Y	Health & Personal Care	B00B2YGB9M	Garcinia Cambogia Pure Extract Supplement, 80% HCA, Best Weight Loss Pill for Women & Men, TV Dr Recommended, Natural Appetite Suppressant, Fat Blocker, Works Fast, Top Amazon Reviews, 180 Capsules	It's harder to lose weight the older you get	I find that the older I get, the harder it is to lose weight....but I've gotten great results taking garcinia this month. I take it before breakfast, lunch and supper. I don't take the one after supper because I don't tend to eat much in the late evenings. I find it really cuts my down my appetite. I've lost 8 lbs this month, which is WAY more than I've lost in a long time.
23	__label1__	3	N	Camera	B004TJ6JH6	NEEWER® 160 LED CN-160 Dimmable Ultra High Power Panel Digital Camera / Camcorder Video Light, LED Light for Canon, Nikon, Pentax, Panasonic,SONY, Samsung and Olympus Digital SLR Cameras	So easy to use!!	I have had my camera for about 2 weeks now. The pictures are great, it is so easy to use. I love it!!
24	__label1__	2	Y	Health & Personal Care	B00OBDRLVS	NatureWise Garcinia Cambogia Extract (Not Synthetic Like All 80% or 95% HCA Products), Natural HCA Appetite Suppressant and Weight Loss Supplement, 500 mg, 90 count	Stay Away And Don't Buy It	It is highly recommended not to buy this product.  I took the suggested dosage for a week and felt nothing, no extra energy, no loss of appetite, no pounds lost.
25	__label1__	3	N	PC	B002RWJGHM	Thermaltake Power Supply 240-Pin 600 Power Supply W0388RU	good supply	The actual power supply is good, but the cable harness's had to be completely taken apart and re-oriented to avoid a birds nest of backwards wiring in tower. It's like they didn't test it to see if it works.
